"input","response"
"ceritain lelucon mba","Lelucon: Ada dua atom, satu bilang 'aku kehilangan elektron', satunya bilang 'apakah kamu positif?'."
"ceritain lelucon teman","Kenapa komputer suka panas? Karena banyak cache 😄"
"ada joke lucu?","Lelucon: Ada dua atom, satu bilang 'aku kehilangan elektron', satunya bilang 'apakah kamu positif?'."
"ada joke lucu? bro","Lelucon: Ada dua atom, satu bilang 'aku kehilangan elektron', satunya bilang 'apakah kamu positif?'."
"ada joke lucu? kak","Kenapa komputer suka panas? Karena banyak cache 😄"
"ada joke lucu? mas","Lelucon: Ada dua atom, satu bilang 'aku kehilangan elektron', satunya bilang 'apakah kamu positif?'."
"ada joke lucu? mba","Lelucon: Ada dua atom, satu bilang 'aku kehilangan elektron', satunya bilang 'apakah kamu positif?'."
"ada joke lucu? teman","Lelucon: Ada dua atom, satu bilang 'aku kehilangan elektron', satunya bilang 'apakah kamu positif?'."
"kamu pintar ya","Terima kasih, kamu membuatku senang."
"kamu pintar ya bro","Terima kasih, kamu membuatku senang."
"kamu pintar ya kak","Terima kasih, kamu membuatku senang."
"kamu pintar ya mas","Makasih! Kamu juga hebat kok."
"kamu pintar ya mba","Makasih! Kamu juga hebat kok."
"kamu pintar ya teman","Terima kasih, kamu membuatku senang."
"kamu bagus","Terima kasih, kamu membuatku senang."
"kamu bagus bro","Makasih! Kamu juga hebat kok."
"kamu bagus kak","Terima kasih, kamu membuatku senang."
"kamu bagus mas","Terima kasih, kamu membuatku senang."
"kamu bagus mba","Makasih! Kamu juga hebat kok."
"kamu bagus teman","Terima kasih, kamu membuatku senang."
"keren banget","Terima kasih, kamu membuatku senang."
"keren banget bro","Makasih! Kamu juga hebat kok."
"keren banget kak","Terima kasih, kamu membuatku senang."
"keren banget mas","Terima kasih, kamu membuatku senang."
"keren banget mba","Terima kasih, kamu membuatku senang."
"keren banget teman","Terima kasih, kamu membuatku senang."
"apakah kamu robot","Bisa, aku bisa pakai beberapa bahasa termasuk Inggris dan Indonesia."
"apakah kamu robot bro","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"apakah kamu robot kak","Bisa, aku bisa pakai beberapa bahasa termasuk Inggris dan Indonesia."
"apakah kamu robot mas","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"apakah kamu robot mba","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"apakah kamu robot teman","Bisa, aku bisa pakai beberapa bahasa termasuk Inggris dan Indonesia."
"apakah kamu manusia","Bisa, aku bisa pakai beberapa bahasa termasuk Inggris dan Indonesia."
"apakah kamu manusia bro","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"apakah kamu manusia kak","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"apakah kamu manusia mas","Bisa, aku bisa pakai beberapa bahasa termasuk Inggris dan Indonesia."
"apakah kamu manusia mba","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"apakah kamu manusia teman","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"bisa ngomong bahasa inggris?","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"bisa ngomong bahasa inggris? bro","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"bisa ngomong bahasa inggris? kak","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"bisa ngomong bahasa inggris? mas","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"bisa ngomong bahasa inggris? mba","Bisa, aku bisa pakai beberapa bahasa termasuk Inggris dan Indonesia."
"bisa ngomong bahasa inggris? teman","Aku program, bukan manusia, tapi aku bisa berbicara seperti manusia."
"apa itu AI","AI singkatan dari Artificial Intelligence, kecerdasan buatan."
"apa itu AI bro","AI singkatan dari Artificial Intelligence, kecerdasan buatan."
"apa itu AI kak","AI singkatan dari Artificial Intelligence, kecerdasan buatan."
"apa itu AI mas","AI singkatan dari Artificial Intelligence, kecerdasan buatan."
"apa itu AI mba","AI singkatan dari Artificial Intelligence, kecerdasan buatan."
"apa itu AI teman","AI singkatan dari Artificial Intelligence, kecerdasan buatan."
"apa itu machine learning","Machine learning adalah metode membuat model belajar dari data."
"apa itu machine learning bro","Machine learning adalah metode membuat model belajar dari data."
"apa itu machine learning kak","Machine learning adalah metode membuat model belajar dari data."
"apa itu machine learning mas","Machine learning adalah metode membuat model belajar dari data."
"apa itu machine learning mba","Machine learning adalah metode membuat model belajar dari data."
"apa itu machine learning teman","Machine learning adalah metode membuat model belajar dari data."
"bagaimana cara menjadi programmer","Latihan konsisten, pelajari bahasa pemrograman seperti Python, dan buat proyek kecil."
"bagaimana cara menjadi programmer bro","Latihan konsisten, pelajari bahasa pemrograman seperti Python, dan buat proyek kecil."
"bagaimana cara menjadi programmer kak","Latihan konsisten, pelajari bahasa pemrograman seperti Python, dan buat proyek kecil."
"bagaimana cara menjadi programmer mas","Latihan konsisten, pelajari bahasa pemrograman seperti Python, dan buat proyek kecil."
"bagaimana cara menjadi programmer mba","Latihan konsisten, pelajari bahasa pemrograman seperti Python, dan buat proyek kecil."
"bagaimana cara menjadi programmer teman","Latihan konsisten, pelajari bahasa pemrograman seperti Python, dan buat proyek kecil."
"cara belajar matematika","Latihan soal rutin, pahami konsep, dan belajar dari contoh."
"cara belajar matematika bro","Latihan soal rutin, pahami konsep, dan belajar dari contoh."
"cara belajar matematika kak","Latihan soal rutin, pahami konsep, dan belajar dari contoh."
"cara belajar matematika mas","Latihan soal rutin, pahami konsep, dan belajar dari contoh."
"cara belajar matematika mba","Latihan soal rutin, pahami konsep, dan belajar dari contoh."
"cara belajar matematika teman","Latihan soal rutin, pahami konsep, dan belajar dari contoh."
"tips tidur nyenyak","Jaga jadwal tidur, hindari layar sebelum tidur, dan buat lingkungan nyaman."
"tips tidur nyenyak bro","Jaga jadwal tidur, hindari layar sebelum tidur, dan buat lingkungan nyaman."
"tips tidur nyenyak kak","Jaga jadwal tidur, hindari layar sebelum tidur, dan buat lingkungan nyaman."
"tips tidur nyenyak mas","Jaga jadwal tidur, hindari layar sebelum tidur, dan buat lingkungan nyaman."
"tips tidur nyenyak mba","Jaga jadwal tidur, hindari layar sebelum tidur, dan buat lingkungan nyaman."
"tips tidur nyenyak teman","Jaga jadwal tidur, hindari layar sebelum tidur, dan buat lingkungan nyaman."
"cara mengatasi grogi","Tarik napas dalam, latihan presentasi, dan persiapan yang baik."
"cara mengatasi grogi bro","Tarik napas dalam, latihan presentasi, dan persiapan yang baik."
"cara mengatasi grogi kak","Tarik napas dalam, latihan presentasi, dan persiapan yang baik."
"cara mengatasi grogi mas","Tarik napas dalam, latihan presentasi, dan persiapan yang baik."
"cara mengatasi grogi mba","Tarik napas dalam, latihan presentasi, dan persiapan yang baik."
"cara mengatasi grogi teman","Tarik napas dalam, latihan presentasi, dan persiapan yang baik."
"rekomendasi film","Coba tonton Inception, Interstellar, atau film favorit lainnya sesuai genre."
"rekomendasi film bro","Coba tonton Inception, Interstellar, atau film favorit lainnya sesuai genre."
"rekomendasi film kak","Coba tonton Inception, Interstellar, atau film favorit lainnya sesuai genre."
"rekomendasi film mas","Coba tonton Inception, Interstellar, atau film favorit lainnya sesuai genre."
"rekomendasi film mba","Coba tonton Inception, Interstellar, atau film favorit lainnya sesuai genre."
"rekomendasi film teman","Coba tonton Inception, Interstellar, atau film favorit lainnya sesuai genre."
"apa itu internet","Internet adalah jaringan global yang menghubungkan komputer dan layanan."
"apa itu internet bro","Internet adalah jaringan global yang menghubungkan komputer dan layanan."
